post_id,post_date,platform,hashtag,content_type,region,views,likes,shares,comments,engagement_level,year,month,engagement_score,engagement_growth,revival_label,cluster
Post_1,2022-01-13,TikTok,#challenge,Video,UK,4163464,339431,53135,19346,High,2022,1,4575376,,0,0
Post_3,2022-01-07,Twitter,#challenge,Video,Brazil,3666211,327143,39423,36223,Medium,2022,1,4069000,-0.1106741828431149,0,0
Post_79,2022-01-27,Instagram,#challenge,Reel,USA,4219632,171996,5043,3436,Medium,2022,1,4400107,0.0813730646350454,0,0
Post_237,2022-01-21,YouTube,#challenge,Tweet,UK,1091635,198291,5604,31314,Medium,2022,1,1326844,-0.6984518785565896,0,1
Post_344,2022-01-21,Instagram,#challenge,Video,Canada,121735,293092,98179,41884,Low,2022,1,554890,-0.5817971065174203,0,1
Post_497,2022-01-16,YouTube,#challenge,Shorts,Brazil,4511253,111081,94452,24513,Medium,2022,1,4741299,7.544574600371245,1,0
Post_570,2022-01-28,TikTok,#challenge,Reel,India,137563,40490,5847,43200,Medium,2022,1,227100,-0.9521017341450096,0,1
Post_1052,2022-01-05,TikTok,#challenge,Shorts,Germany,2631238,442816,29304,44101,Low,2022,1,3147459,12.859352708058124,1,1
Post_1714,2022-01-27,Twitter,#challenge,Video,USA,3228275,113917,75531,36656,Low,2022,1,3454379,0.097513581590737,0,1
Post_2124,2022-01-25,TikTok,#challenge,Post,UK,912055,363839,15376,24499,Medium,2022,1,1315769,-0.6191011466894629,0,1
Post_2245,2022-01-16,TikTok,#challenge,Tweet,India,4524217,407316,32931,25862,Medium,2022,1,4990326,2.7927067745174114,1,0
Post_2390,2022-01-24,TikTok,#challenge,Live Stream,USA,3105849,19437,81661,30275,Low,2022,1,3237222,-0.3513004962000479,0,1
Post_3109,2022-01-06,Twitter,#challenge,Live Stream,Brazil,2883752,89502,34959,36742,Medium,2022,1,3044955,-0.0593925903135466,0,1
Post_3329,2022-01-10,YouTube,#challenge,Live Stream,Brazil,2041537,129066,16337,23221,Medium,2022,1,2210161,-0.2741564325252754,0,1
Post_3726,2022-01-08,TikTok,#challenge,Post,Canada,664480,402282,61942,49243,High,2022,1,1177947,-0.4670311348358784,0,1
Post_4407,2022-01-03,TikTok,#challenge,Shorts,Japan,3734868,430185,97021,20606,Low,2022,1,4282680,2.6357153590102103,1,0
Post_4511,2022-01-07,YouTube,#challenge,Video,Germany,2236066,192860,82823,1338,Low,2022,1,2513087,-0.4131975772180036,0,1
Post_143,2022-02-24,Instagram,#challenge,Tweet,USA,4283565,107901,84854,4738,Low,2022,2,4481058,0.7830890852564993,0,0
